dataset_id,file,reason
683,683.arff,too few rows
684,684.arff,too few rows
685,685.arff,not enough classes
686,686.arff,likely regression target
687,687.arff,too few rows
689,689.arff,likely regression target
690,690.arff,likely regression target
691,691.arff,too few rows
692,692.arff,too few rows
693,693.arff,too few rows
694,694.arff,too few samples per class (40)
695,695.arff,likely regression target
696,696.arff,too few rows
697,697.arff,too few rows
698,698.arff,too few rows
699,699.arff,likely regression target
700,700.arff,not enough classes
702,702.arff,too few rows
703,703.arff,not enough classes
704,704.arff,likely regression target
705,705.arff,too few rows
706,706.arff,too few rows
707,707.arff,too few rows
708,708.arff,too few rows
709,709.arff,likely regression target
710,710.arff,too few rows
711,711.arff,too few rows
712,712.arff,likely regression target
713,713.arff,too few rows
714,714.arff,not enough classes
716,716.arff,too few rows
717,717.arff,not enough classes
719,719.arff,not enough classes
720,720.arff,not enough classes
721,721.arff,not enough classes
724,724.arff,not enough classes
726,726.arff,too few rows
728,728.arff,not enough classes
729,729.arff,too few rows
730,730.arff,not enough classes
731,731.arff,too few rows
732,732.arff,not enough classes
733,733.arff,not enough classes
736,736.arff,too few rows
737,737.arff,not enough classes
738,738.arff,not enough classes
739,739.arff,too few rows
740,740.arff,not enough classes
741,741.arff,not enough classes
743,743.arff,not enough classes
744,744.arff,not enough classes
745,745.arff,not enough classes
746,746.arff,not enough classes
747,747.arff,not enough classes
748,748.arff,not enough classes
749,749.arff,not enough classes
750,750.arff,not enough classes
751,751.arff,not enough classes
753,753.arff,not enough classes
754,754.arff,too few rows
755,755.arff,too few rows
756,756.arff,not enough classes
757,757.arff,not enough classes
758,758.arff,too few rows
759,759.arff,too few rows
760,760.arff,too few rows
762,762.arff,too few rows
763,763.arff,not enough classes
764,764.arff,not enough classes
765,765.arff,not enough classes
767,767.arff,not enough classes
768,768.arff,too few rows
769,769.arff,not enough classes
770,770.arff,not enough classes
771,771.arff,too few rows
772,772.arff,not enough classes
773,773.arff,not enough classes
774,774.arff,not enough classes
775,775.arff,too few rows
776,776.arff,not enough classes
777,777.arff,too few rows
778,778.arff,not enough classes
779,779.arff,not enough classes
780,780.arff,too few rows
782,782.arff,not enough classes
783,783.arff,too few rows
784,784.arff,not enough classes
785,785.arff,too few rows
786,786.arff,not enough classes
787,787.arff,too few rows
788,788.arff,not enough classes
789,789.arff,too few rows
790,790.arff,too few rows
791,791.arff,too few rows
792,792.arff,not enough classes
793,793.arff,not enough classes
794,794.arff,not enough classes
795,795.arff,not enough classes
796,796.arff,not enough classes
798,798.arff,not enough classes
799,799.arff,not enough classes
800,800.arff,too few rows
801,801.arff,not enough classes
802,802.arff,not enough classes
804,804.arff,too few rows
808,808.arff,too few rows
810,810.arff,not enough classes
811,811.arff,not enough classes
812,812.arff,too few rows
813,813.arff,not enough classes
814,814.arff,not enough classes
815,815.arff,too few rows
817,817.arff,too few rows
818,818.arff,not enough classes
820,820.arff,not enough classes
824,824.arff,not enough classes
825,825.arff,not enough classes
826,826.arff,not enough classes
827,827.arff,not enough classes
828,828.arff,too few rows
829,829.arff,too few rows
830,830.arff,not enough classes
831,831.arff,not enough classes
832,832.arff,not enough classes
835,835.arff,too few rows
836,836.arff,too few rows
838,838.arff,not enough classes
839,839.arff,not enough classes
840,840.arff,not enough classes
841,841.arff,not enough classes
842,842.arff,too few rows
844,844.arff,not enough classes
845,845.arff,not enough classes
848,848.arff,too few rows
850,850.arff,too few rows
852,852.arff,not enough classes
853,853.arff,not enough classes
854,854.arff,not enough classes
855,855.arff,not enough classes
857,857.arff,too few rows
858,858.arff,not enough classes
859,859.arff,too few rows
860,860.arff,not enough classes
861,861.arff,too few rows
862,862.arff,too few rows
863,863.arff,not enough classes
864,864.arff,too few rows
865,865.arff,too few rows
867,867.arff,not enough classes
868,868.arff,too few rows
869,869.arff,not enough classes
870,870.arff,not enough classes
871,871.arff,not enough classes
872,872.arff,not enough classes
873,873.arff,not enough classes
874,874.arff,too few rows
875,875.arff,too few rows
876,876.arff,too few rows
877,877.arff,not enough classes
878,878.arff,too few rows
879,879.arff,not enough classes
880,880.arff,not enough classes
882,882.arff,too few rows
884,884.arff,not enough classes
885,885.arff,not enough classes
886,886.arff,not enough classes
887,887.arff,too few rows
889,889.arff,too few rows
890,890.arff,too few rows
891,891.arff,too few rows
892,892.arff,too few rows
893,893.arff,too few rows
894,894.arff,too few rows
895,895.arff,not enough classes
896,896.arff,not enough classes
897,897.arff,not enough classes
898,898.arff,too few rows
899,899.arff,too few rows
900,900.arff,not enough classes
902,902.arff,not enough classes
905,905.arff,too few rows
906,906.arff,not enough classes
907,907.arff,not enough classes
908,908.arff,not enough classes
909,909.arff,not enough classes
910,910.arff,not enough classes
911,911.arff,not enough classes
912,912.arff,not enough classes
913,913.arff,not enough classes
914,914.arff,not enough classes
915,915.arff,not enough classes
916,916.arff,too few rows
918,918.arff,not enough classes
919,919.arff,too few rows
921,921.arff,not enough classes
922,922.arff,too few rows
923,923.arff,not enough classes
924,924.arff,not enough classes
925,925.arff,not enough classes
926,926.arff,not enough classes
927,927.arff,too few rows
928,928.arff,too few rows
929,929.arff,too few rows
931,931.arff,not enough classes
932,932.arff,too few rows
933,933.arff,not enough classes
934,934.arff,not enough classes
935,935.arff,not enough classes
936,936.arff,not enough classes
938,938.arff,too few rows
939,939.arff,not enough classes
940,940.arff,not enough classes
941,941.arff,not enough classes
942,942.arff,too few rows
943,943.arff,not enough classes
944,944.arff,not enough classes
945,945.arff,too few rows
946,946.arff,too few rows
947,947.arff,not enough classes
948,948.arff,not enough classes
949,949.arff,not enough classes
950,950.arff,not enough classes
951,951.arff,not enough classes
952,952.arff,too few samples per class (9)
955,955.arff,not enough classes
956,956.arff,too few rows
957,957.arff,not enough classes
960,960.arff,too few rows
961,961.arff,not enough classes
962,962.arff,not enough classes
963,963.arff,not enough classes
964,964.arff,too few rows
965,965.arff,too few rows
966,966.arff,not enough classes
967,967.arff,not enough classes
968,968.arff,not enough classes
969,969.arff,not enough classes
970,970.arff,not enough classes
972,972.arff,too few rows
973,973.arff,not enough classes
974,974.arff,not enough classes
975,975.arff,not enough classes
982,982.arff,not enough classes
983,983.arff,not enough classes
984,984.arff,not enough classes
985,985.arff,too few rows
986,986.arff,not enough classes
987,987.arff,not enough classes
988,988.arff,too few rows
989,989.arff,not enough classes
990,990.arff,not enough classes
991,991.arff,not enough classes
992,992.arff,too few rows
994,994.arff,not enough classes
996,996.arff,not enough classes
997,997.arff,not enough classes
998,998.arff,too few rows
999,999.arff,not enough classes
1001,1001.arff,too few rows
1003,1003.arff,not enough classes
1005,1005.arff,not enough classes
1006,1006.arff,not enough classes
1007,1007.arff,too few rows
1008,1008.arff,not enough classes
1009,1009.arff,too few rows
1010,1010.arff,not enough classes
1011,1011.arff,not enough classes
1012,1012.arff,not enough classes
1013,1013.arff,not enough classes
1014,1014.arff,not enough classes
1015,1015.arff,too few rows
1016,1016.arff,not enough classes
1023,1023.arff,not enough classes
1025,1025.arff,not enough classes
1026,1026.arff,not enough classes
1027,1027.arff,too few samples per class (37)
1028,1028.arff,not enough classes
1029,1029.arff,"Error while parsing header, error was: 'utf-8' codec can't decode byte 0xd5 in position 852: invalid continuation byte"
1030,1030.arff,too few encoded features for target projection
1035,1035.arff,too few samples per class (37)
1045,1045.arff,not enough classes
1047,1047.arff,too few samples per class (6)
1048,1048.arff,"Error while parsing header, error was: Error parsing line  @relation jEdit:Metrics/4-2-final/:BugCount/4-2-final_4-3-pre12/
"
1049,1049.arff,not enough classes
1051,1051.arff,could not convert string to float: '278                           %\tinstance number:\t1'
1054,1054.arff,not enough classes
1055,1055.arff,too few rows
1057,1057.arff,too few rows
1058,1058.arff,too few rows
1059,1059.arff,not enough classes
1060,1060.arff,too few rows
1061,1061.arff,too few rows
1062,1062.arff,too few rows
1063,1063.arff,not enough classes
1064,1064.arff,too few rows
1065,1065.arff,not enough classes
1066,1066.arff,not enough classes
1067,1067.arff,not enough classes
1068,1068.arff,not enough classes
1070,1070.arff,too few samples per class (12)
1071,1071.arff,not enough classes
1072,1072.arff,too few rows
1073,1073.arff,"Error while parsing header, error was: Error parsing line  @relation jEdit:Metrics/4-0-final/:BugCount/4-0-final_4-2-final/
"
1074,1074.arff,too few rows
1075,1075.arff,not enough classes
1076,1076.arff,too few rows
1089,1089.arff,too few rows
1090,1090.arff,too few rows
1091,1091.arff,too few rows
1092,1092.arff,"String attributes not supported yet, sorry"
1093,1093.arff,too few rows
1094,1094.arff,too few rows
1095,1095.arff,too few rows
1096,1096.arff,too few rows
1097,1097.arff,not enough classes
1098,1098.arff,too few rows
1099,1099.arff,not enough classes
1100,1100.arff,not enough classes
1115,1115.arff,not enough classes
1117,1117.arff,too few rows
1121,1121.arff,not enough classes
1167,1167.arff,not enough classes
1228,1228.arff,"'Well diff' value not in ('Poorly diff', 'Intermediate', 'Well diff')"
1245,1245.arff,likely regression target
1412,1412.arff,not enough classes
1419,1419.arff,too few rows
1420,1420.arff,likely regression target
1435,1435.arff,could not convert string to float: '{0 0.747253'
1436,1436.arff,could not convert string to float: '{0 -1'
1438,1438.arff,string index out of range
1441,1441.arff,not enough classes
1442,1442.arff,not enough classes
1443,1443.arff,not enough classes
1444,1444.arff,not enough classes
1446,1446.arff,not enough classes
1447,1447.arff,not enough classes
1448,1448.arff,not enough classes
1449,1449.arff,not enough classes
1450,1450.arff,not enough classes
1451,1451.arff,not enough classes
1452,1452.arff,not enough classes
1453,1453.arff,not enough classes
1454,1454.arff,not enough classes
1455,1455.arff,not enough classes
1456,1456.arff,too few rows
1460,1460.arff,not enough classes
1462,1462.arff,not enough classes
1463,1463.arff,too few rows
1464,1464.arff,not enough classes
1465,1465.arff,too few rows
1467,1467.arff,not enough classes
1470,1470.arff,not enough classes
1472,1472.arff,likely regression target
1473,1473.arff,too few rows
1480,1480.arff,not enough classes
1482,1482.arff,likely regression target
1488,1488.arff,not enough classes
1490,1490.arff,not enough classes
1494,1494.arff,not enough classes
1495,1495.arff,not enough classes
1498,1498.arff,not enough classes
1499,1499.arff,not enough classes
1500,1500.arff,not enough classes
1506,1506.arff,not enough classes
1508,1508.arff,not enough classes
1510,1510.arff,not enough classes
1511,1511.arff,not enough classes
1512,1512.arff,not enough classes
1513,1513.arff,not enough classes
1516,1516.arff,too few rows
1517,1517.arff,too few rows
1518,1518.arff,too few rows
1519,1519.arff,too few rows
1520,1520.arff,not enough classes
1523,1523.arff,not enough classes
1524,1524.arff,not enough classes
1525,1525.arff,not enough classes
1526,1526.arff,not enough classes
1527,1527.arff,not enough classes
1528,1528.arff,not enough classes
1529,1529.arff,not enough classes
1530,1530.arff,not enough classes
1531,1531.arff,not enough classes
1532,1532.arff,not enough classes
1533,1533.arff,not enough classes
1534,1534.arff,not enough classes
1535,1535.arff,not enough classes
1536,1536.arff,not enough classes
1538,1538.arff,not enough classes
1539,1539.arff,not enough classes
1540,1540.arff,not enough classes
1541,1541.arff,not enough classes
1542,1542.arff,not enough classes
1543,1543.arff,not enough classes
1544,1544.arff,not enough classes
1545,1545.arff,not enough classes
1546,1546.arff,not enough classes
1547,1547.arff,not enough classes
1551,1551.arff,too few samples per class (36)
1552,1552.arff,not enough classes
1553,1553.arff,not enough classes
1554,1554.arff,not enough classes
1556,1556.arff,not enough classes
1557,1557.arff,not enough classes
1559,1559.arff,too few rows
1563,1563.arff,too few rows
1564,1564.arff,too few rows
1565,1565.arff,not enough classes
1571,1571.arff,could not convert string to float: '{0 0.747253'
1572,1572.arff,could not convert string to float: '{0 -1'
1574,1574.arff,could not convert string to float: '{0 0.708333'
1600,1600.arff,not enough classes
